feature_name,source,dtype,missing_pct,mean,std,min,max,lag_months
v2x_polyarchy,V-Dem,float64,11.71,0.49,0.2739,0.013,0.922,1
v2x_libdem,V-Dem,float64,12.11,0.3825,0.2732,0.005,0.896,1
v2x_partipdem,V-Dem,float64,11.93,0.3126,0.2099,0.008,0.808,1
v2x_freexp_altinf,V-Dem,float64,11.7,0.6278,0.3051,0.011,0.988,1
v2x_frassoc_thick,V-Dem,float64,11.7,0.62,0.3069,0.018,0.95,1
v2x_regime,V-Dem,float64,11.71,1.5021,1.0362,0.0,3.0,1
v2xnp_regcorr,V-Dem,float64,11.9,0.5032,0.306,0.002,0.975,1
v2x_civlib,V-Dem,float64,11.7,0.6533,0.271,0.015,0.975,1
v2x_clpol,V-Dem,float64,11.7,0.6414,0.3076,0.011,0.985,1
v2x_clphy,V-Dem,float64,11.7,0.6477,0.3002,0.012,0.989,1
v2x_corr,V-Dem,float64,12.16,0.5041,0.3004,0.002,0.971,1
v2x_execorr,V-Dem,float64,11.9,0.4994,0.3053,0.003,0.979,1
v2x_rule,V-Dem,float64,11.7,0.5296,0.3112,0.007,0.998,1
v2xcs_ccsi,V-Dem,float64,11.7,0.6406,0.2973,0.007,0.98,1
regime_type_0,V-Dem,float64,11.7,0.1957,0.3968,0.0,1.0,1
regime_type_1,V-Dem,float64,11.7,0.3225,0.4674,0.0,1.0,1
regime_type_2,V-Dem,float64,11.7,0.2656,0.4417,0.0,1.0,1
regime_type_3,V-Dem,float64,11.7,0.2161,0.4116,0.0,1.0,1
governance_deficit,V-Dem,float64,11.7,0.533,0.2766,0.0613,0.9627,1
repression_index,V-Dem,float64,11.9,0.4267,0.2755,0.0073,0.9635,1
libdem_yoy_change,V-Dem,float64,12.42,0.0029,0.0358,-0.275,0.654,1
tenure_months,REIGN,float64,4.21,86.2746,98.7858,1.0,698.0,1
age,REIGN,float64,4.21,59.0071,11.0902,18.0,95.0,1
male,REIGN,float64,4.21,0.9565,0.2039,0.0,1.0,1
militarycareer,REIGN,float64,4.21,0.1598,0.3664,0.0,1.0,1
